Plot ID,Site,Transect,Plot,distance,Shannon,Simpson
B-1.1,Blackford,1,1,0,2.28695954,2.53013737
B-1.2,Blackford,1,2,1,2.190267196,2.48981212
B-1.3,Blackford,1,3,7,2.84027689,3.873610539
B-1.4,Blackford,1,4,14,1.904046595,1.84569952
B-2.1,Blackford,2,1,0,2.514467454,3.15228781
B-2.2,Blackford,2,2,1,1.950744023,1.920122888
B-2.3,Blackford,2,3,7,2.266220353,2.593659942
B-2.4,Blackford,2,4,14,2.541256124,3.010178117
B-3.1,Blackford,3,1,0,1.717268622,1.751167092
B-3.2,Blackford,3,2,1,1.482854736,1.870666147
B-3.3,Blackford,3,3,7,1.562648692,2.033499027
B-3.4,Blackford,3,4,14,2.812924482,3.317851147
B-4.1,Blackford,4,1,0,1.266079023,1.536170213
B-4.2,Blackford,4,2,1,1.612586262,1.862953811
B-4.3,Blackford,4,3,7,1.836397014,2.245172878
B-4.4,Blackford,4,4,14,2.034109742,2.348520432
B-5.1,Blackford,5,1,0,1.230595627,1.486576672
B-5.2,Blackford,5,2,1,1.346023334,1.923076923
B-5.3,Blackford,5,3,7,1.294893278,1.834862385
B-5.4,Blackford,5,4,14,1.000804847,1.470588235
B-6.1,Blackford,6,1,0,0,1
B-6.2,Blackford,6,2,1,1.876262056,2.117746717
B-6.3,Blackford,6,3,7,2.538120236,2.9342723
B-6.4,Blackford,6,4,14,2.681881312,3.38066261
B-7.1,Blackford,7,1,0,1.622009424,2.098460645
B-7.2,Blackford,7,2,1,2.13418779,2.816901408
B-7.3,Blackford,7,3,7,2.079441542,2.666666667
B-7.4,Blackford,7,4,14,1.997158663,2.53164557
C-1.1,Craigmillar,1,1,0,3.176739222,3.984202566
C-1.2,Craigmillar,1,2,1,3.640066143,5.161237045
C-1.3,Craigmillar,1,3,7,2.583190376,3.24509611
C-1.4,Craigmillar,1,4,14,2.576914479,3.358232191
C-2.1,Craigmillar,2,1,0,2.929237072,3.781121581
C-2.2,Craigmillar,2,2,1,3.227192338,3.921568627
C-2.3,Craigmillar,2,3,7,2.121713894,2.793103448
C-2.4,Craigmillar,2,4,14,3.143105364,3.402762571
C-3.1,Craigmillar,3,1,0,3.217765928,4.347826087
C-3.2,Craigmillar,3,2,1,3.224688075,4.081632653
C-3.3,Craigmillar,3,3,7,0.412384101,1.110769231
C-3.4,Craigmillar,3,4,14,1.649318648,1.91005291
C-4.1,Craigmillar,4,1,0,2.232298293,2.323173682
C-4.2,Craigmillar,4,2,1,2.583276701,2.577595433
C-4.3,Craigmillar,4,3,7,0.412384101,1.110769231
C-4.4,Craigmillar,4,4,14,0.90549859,1.308985133
C-5.1,Craigmillar,5,1,0,3.945866472,5.875440658
C-5.2,Craigmillar,5,2,1,2.960362677,3.353454058
C-5.3,Craigmillar,5,3,7,1.877538288,2.229383619
C-5.4,Craigmillar,5,4,14,0.412384101,1.110769231
C-6.1,Craigmillar,6,1,0,1.835427095,1.899624765
C-6.2,Craigmillar,6,2,1,2.762154891,3.276539974
C-6.3,Craigmillar,6,3,7,3.295836866,4.628571429
C-6.4,Craigmillar,6,4,14,1.309339129,1.572815534
C-7.1,Craigmillar,7,1,0,2.519986895,3.107520199
C-7.2,Craigmillar,7,2,1,3.015341664,3.117206983
C-7.3,Craigmillar,7,3,7,2.496753327,2.893518519
C-7.4,Craigmillar,7,4,14,2.33151875,2.339728591
