Plot ID;site;transect;plot;distance;Soil T;Soil M
B-1.1;Blackford;1;1;0;17,5;688
B-1.2;Blackford;1;2;1;14,4;212
B-1.3;Blackford;1;3;7;13,7;683
B-1.4;Blackford;1;4;14;13,6;189
B-2.1;Blackford;2;1;0;17;664
B-2.2;Blackford;2;2;1;17,3;201
B-2.3;Blackford;2;3;7;14;246
B-2.4;Blackford;2;4;14;13,4;206
B-3.1;Blackford;3;1;0;19,4;576
B-3.2;Blackford;3;2;1;14,3;216
B-3.3;Blackford;3;3;7;14;216
B-3.4;Blackford;3;4;14;13,6;236
B-4.1;Blackford;4;1;0;13;230
B-4.2;Blackford;4;2;1;12,5;342
B-4.3;Blackford;4;3;7;12,5;251
B-4.4;Blackford;4;4;14;13,3;98
B-5.1;Blackford;5;1;0;13;264
B-5.2;Blackford;5;2;1;12,6;329
B-5.3;Blackford;5;3;7;12,1;334
B-5.4;Blackford;5;4;14;12,2;574
B-6.1;Blackford;6;1;0;12;710
B-6.2;Blackford;6;2;1;12;430
B-6.3;Blackford;6;3;7;12,6;12,2
B-6.4;Blackford;6;4;14;12,2;265
B-7.1;Blackford;7;1;0;12,5;393
B-7.2;Blackford;7;2;1;12,5;452
B-7.3;Blackford;7;3;7;14,2;420
B-7.4;Blackford;7;4;14;11,8;320
C-1.1;Craigmilar;1;1;0;13,9;620
C-1.2;Craigmilar;1;2;1;13,7;352
C-1.3;Craigmilar;1;3;7;12,8;518
C-1.4;Craigmilar;1;4;14;13;518
C-2.1;Craigmilar;2;1;0;13,7;536
C-2.2;Craigmilar;2;2;1;13,6;574
C-2.3;Craigmilar;2;3;7;13,4;462
C-2.4;Craigmilar;2;4;14;13,7;368
C-3.1;Craigmilar;3;1;0;14,2;768
C-3.2;Craigmilar;3;2;1;13,6;594
C-3.3;Craigmilar;3;3;7;13,3;440
C-3.4;Craigmilar;3;4;14;13,5;420
C-4.1;Craigmilar;4;1;0;15,9;403
C-4.2;Craigmilar;4;2;1;14,8;420
C-4.3;Craigmilar;4;3;7;14,1;320
C-4.4;Craigmilar;4;4;14;14,7;356
C-5.1;Craigmilar;5;1;0;14,6;650
C-5.2;Craigmilar;5;2;1;14;524
C-5.3;Craigmilar;5;3;7;13,7;337
C-5.4;Craigmilar;5;4;14;13,5;212
C-6.1;Craigmilar;6;1;0;16,2;168
C-6.2;Craigmilar;6;2;1;14,3;222
C-6.3;Craigmilar;6;3;7;14,4;154
C-6.4;Craigmilar;6;4;14;14,5;312
C-7.1;Craigmilar;7;1;0;;
C-7.2;Craigmilar;7;2;1;;
C-7.3;Craigmilar;7;3;7;14,6;234
C-7.4;Craigmilar;7;4;14;14,8;342
