Order,B.1.1,B.1.2,B.1.3,B.1.4,B.2.3,B.2.4,B.3.2,B.3.3,B.3.4,B.4.2,B.4.3,B.4.4,B.5.1,B.5.2,B.5.3,B.5.4,B.6.1,B.6.2,B.6.3,B.6.4,B.7.1,B.7.2,B.7.3,B.7.4,,
Amphipoda (sand hoppers and scuds),,,,,,,,,,1,,2,1,,,,,,,,,,,,,
Aranaeae (spiders),,,2,,5,,2,1,,1,,4,3,4,,,1,,,,,,,,,
Chilopoda,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,
Coleoptera (beetles),2,14,4,1,4,2,5,2,,6,5,9,9,4,6,5,8,5,12,2,12,4,3,2,,
Collembola (springtails),,,,,,,,,,,,,,,,,1,,,,,,,,,
Dermaptera (earwigs),2,2,,3,2,,2,1,1,,3,1,9,3,7,2,,,,,,,,1,,
Diptera (two-winged flies),7,,2,,8,8,5,9,6,1,9,6,7,6,4,5,3,3,7,11,2,1,1,1,,
Glomerida,1,,,,,,,,,,,,,,,,,,,1,,,,,,
Haplotaxida,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemiptera,,,,1,,,,,1,,1,,,,1,2,,,,,,,,,,
"Hymenoptera (sawflies, bees, ants and wasps)",,,17,7,,3,2,1,,,,1,,,,,5,1,5,4,2,,1,4,,
Ixodida,,1,1,,4,,,2,,,2,,3,1,,,,,,,,,,,,
Lepidoptera,,,,,,,,,,,,,,,,,,,,,,,,,,
Nematoda,,,,,,,,,,,,,,,,,,,,2,1,,,,,
Oligichaeta,,,,,,,,,,,,,,,,,,,,,,,,,,
Opiliones (harvestmen),1,,,,,,,,, ,,1,1,,1,1,,,,,,,,,,
Prosobranchia,,,,,,,,,,1,,3,,,,,,1,1,,,,,,,
Pulmonata,,1,,,,,,1,,,1,,1,2,1,1,3,,,,,1,1,1,,
Strepsiptera,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
